cal_month,ls_ret
2016-12-01,0.0036974373629815455
2017-01-01,0.0030391790911437483
2017-02-01,0.027611918541229873
2017-03-01,0.008117884767919515
2017-04-01,0.0010666305101431984
2017-05-01,0.0087459784377144
2017-06-01,-0.0013396806769619234
2017-07-01,0.0032828901058395525
2017-08-01,0.0008320890388374552
2017-09-01,-0.0005020583611746524
2017-10-01,0.004124288511471593
2017-11-01,0.0033194337991991653
2017-12-01,0.004955150460146671
2018-01-01,0.013418478974121604
2018-02-01,0.02372601968623502
2018-03-01,0.012073961647991021
2018-04-01,-0.011804856482178688
2018-05-01,-0.0043992707465490485
2018-06-01,0.0002326248619813568
2018-07-01,0.006393451474946542
2018-08-01,0.0025502936915679543
2018-09-01,0.00812967333106957
2018-10-01,0.0021862772190806706
2018-11-01,0.010330575850644352
2018-12-01,0.00518294122049983
2019-01-01,0.013203087297729385
2019-02-01,0.026606650521753653
2019-03-01,0.011040323758594348
2019-04-01,-0.003170904759079038
2019-05-01,0.004719252383437095
2019-06-01,0.005225451704668524
2019-07-01,0.012281489302561024
2019-08-01,0.004295389511790655
2019-09-01,-0.009732384495860294
2019-10-01,0.013841402311613295
2019-11-01,0.0003524352596630115
2019-12-01,-0.003433618767908063
2020-01-01,0.032008420947749056
2020-02-01,0.011194481176369314
2020-03-01,0.00762375781949276
2020-04-01,-0.0042009874523942226
2020-05-01,0.00901156516685414
2020-06-01,0.004954122217599333
2020-07-01,0.012824716996825403
2020-08-01,-0.01041855028603534
2020-09-01,0.0064460587448246925
2020-10-01,0.006445022328387522
2020-11-01,-0.0261996095305832
2020-12-01,0.009334748938789786
2021-01-01,-0.009450693103778284
2021-02-01,0.020017289124261706
2021-03-01,0.04016262616603327
2021-04-01,0.012995003127399488
2021-05-01,0.01394625942361987
2021-06-01,-0.020917117361250247
2021-07-01,0.037253231937140883
2021-08-01,0.003441024469917328
2021-09-01,-0.0025240204981209977
2021-10-01,0.01761587339770194
2021-11-01,0.02448574450052255
2021-12-01,0.009150732295639006
2022-01-01,0.002799431427964502
2022-02-01,0.012394579424307037
2022-03-01,-0.0016477373660506289
2022-04-01,0.014704787139225295
2022-05-01,0.008347553136388958
2022-06-01,-0.006878994475026726
2022-07-01,0.0008872054585538081
2022-08-01,-0.017716755887078998
2022-09-01,0.014124489810115493
2022-10-01,0.010220349765228454
2022-11-01,0.013325768512262484
2022-12-01,0.007550045446175328
2023-01-01,0.006133613885213926
2023-02-01,0.034784006333565425
2023-03-01,0.026486786590038322
2023-04-01,-0.006072975710053799
2023-05-01,0.00020277459890227084
2023-06-01,-1.3451843036554889e-05
2023-07-01,-0.01942089130421082
2023-08-01,-0.004195454731640597
2023-09-01,-0.001278704888374546
2023-10-01,0.00897835909035738
2023-11-01,0.015861950470145617
2023-12-01,-0.003999824753364335
2024-01-01,0.021142499529740604
2024-02-01,0.04960143831729854
2024-03-01,0.014813069829091318
2024-04-01,0.013256316624785436
2024-05-01,-0.006622474853019492
2024-06-01,0.0022229574614502402
2024-07-01,-0.00804683946461894
2024-08-01,0.012860358364010067
2024-09-01,-0.0017710733426259326
2024-10-01,0.00919662586173196
2024-11-01,0.004742579780176517
2024-12-01,0.006829274176173461
