event,model,surprise,good_api,bad_api,spread_pp
FYE,Simple (EW),SUE,1.1357338447959058,1.0662155639510715,6.951828084483425
FYE,Simple (EW),TSUE,1.1570084885789509,1.0269340151987871,13.007447338016377
FYE,Simple (VW),SUE,1.0194810737287279,0.9543169783855839,6.516409534314393
FYE,Simple (VW),TSUE,1.0413054434021138,0.9194812097016523,12.182423370046159
FYE,MM (EW),SUE,0.991403293760392,0.9490804615758556,4.232283218453647
FYE,MM (EW),TSUE,0.9555409647273645,0.9248922602538502,3.064870447351431
FYE,MM (VW),SUE,0.9909691508146857,0.9553695262859748,3.5599624528710905
FYE,MM (VW),TSUE,0.9538527217250009,0.9239857941675912,2.9866927557409717
FYE,FFC,SUE,1.007156259608664,0.9810298157461733,2.6126443862490745
FYE,FFC,TSUE,0.9656438825952218,0.9706192146031517,-0.4975332007929878
Ann,Simple (EW),SUE,1.1417080188688553,1.0519142699603998,8.979374890845548
Ann,Simple (EW),TSUE,1.1693607007886513,1.0283405700377521,14.102013075089914
Ann,Simple (VW),SUE,0.9565569668435687,0.8805217968971331,7.603516994643567
Ann,Simple (VW),TSUE,0.9794772797823404,0.8645994208352767,11.48778589470637
Ann,MM (EW),SUE,1.0223201344526465,0.9591515216407775,6.316861281186892
Ann,MM (EW),TSUE,0.9878193067590696,0.95667487723274,3.1144429526329565
Ann,MM (VW),SUE,0.932230085566259,0.8813061538019816,5.092393176427734
Ann,MM (VW),TSUE,0.9000265196934388,0.8804892162838858,1.9537303409553064
Ann,FFC,SUE,1.0043460829027304,0.9747332811311678,2.961280177156267
Ann,FFC,TSUE,0.9585712151479407,0.9644647445228202,-0.5893529374879414
