event_month,aar,api,quintile,n_firms
-12,-0.00660472866520788,1.0,1,457
-11,-0.006568183807439812,0.9934318161925602,1,457
-10,0.015144967177242891,1.0084773084416252,1,457
-9,-0.01053930634573304,0.9978486571452386,1,457
-8,-0.005826409190371992,0.9920347825586472,1,457
-7,-0.0253248249452954,0.9669116753507053,1,457
-6,0.02771028227571116,0.9937050708103542,1,457
-5,0.029527886214442012,1.0230470810719563,1,457
-4,-0.0012027505470459533,1.0218166106355433,1,457
-3,0.004130398249452953,1.0260371201753742,1,457
-2,-0.01325427789934355,1.0124377390495276,1,457
-1,0.013331498905908089,1.0259350516599666,1,457
0,0.055520129102844644,1.0828950981792616,1,457
1,-0.017227256017505473,1.0642397870828257,1,457
2,-0.04256561269146608,1.01893976849501,1,457
3,-0.0027840440528634344,1.016102995292305,1,457
4,-0.021948137168141587,0.9938014273746701,1,457
5,0.003598387527839641,0.9973775100360843,1,457
6,0.0027183363028953217,1.0000887175293067,1,457
-12,-0.0023768302277432734,1.0,2,483
-11,-0.017530287784679077,0.982469712215321,2,483
-10,9.837888198758138e-05,0.9825663664871953,2,483
-9,-0.007656370600414076,0.975043474245867,2,483
-8,0.0019061221532091109,0.9769020262124691,2,483
-7,-0.012115761904761902,0.9650661138585993,2,483
-6,0.029881654244306416,0.9939038857958185,2,483
-5,0.027758666666666668,1.0214933324603293,2,483
-4,-0.0018230310559006228,1.0196311183918587,2,483
-3,-0.0017707267080745357,1.017825630338138,2,483
-2,-0.0036961677018633584,1.0140635761171537,2,483
-1,0.014346182194616973,1.0286115169370553,2,483
0,0.027921246376811596,1.0573316325274809,2,483
1,-0.00803404761904762,1.0488369798426298,2,483
2,-0.016675757763975153,1.0313468284328748,2,483
3,0.0007361784232365163,1.0321060837148404,2,483
4,-0.014599629166666662,1.0170377176319432,2,483
5,-0.0031876918238993744,1.0137957148148506,2,483
6,0.0012313192389006328,1.0150440209828173,2,483
-12,0.00229221445221445,1.0,3,429
-11,-0.014346825174825162,0.9856531748251749,3,429
-10,0.002861158508158511,0.9884732847924194,3,429
-9,-0.0020990186480186438,0.986398460934572,3,429
-8,0.007623174825174826,0.9939179488495594,3,429
-7,-0.0061595850815850785,0.987795826679506,3,429
-6,0.02916176923076923,1.0166017006242507,3,429
-5,0.016336820512820514,1.0332097401403773,3,429
-4,0.007823937062937063,1.0412935081200492,3,429
-3,0.0004106643356643341,1.041721130226793,3,429
-2,-0.005952616822429911,1.0355201635027242,3,429
-1,0.027000386946386942,1.0634796086080835,3,429
0,0.033583358974358976,1.0991948260658797,3,429
1,-0.00404885547785548,1.0947443450731325,3,429
2,0.01020757575757576,1.105919030910644,3,429
3,0.011811867132867134,1.1189819995634696,3,429
4,0.00037039110070258,1.1193964605379543,3,429
5,-0.0043575717647058865,1.1145186101280025,3,429
6,-0.00711839386792453,1.1065850276879796,3,429
-12,0.0016904495614035078,1.0,4,456
-11,-0.008333291666666654,0.9916667083333334,4,456
-10,0.017618460526315792,1.0091383490893657,4,456
-9,0.006456789473684214,1.0156541429592572,4,456
-8,0.005958471491228071,1.0217058892150273,4,456
-7,-0.008740484649122804,1.0127756845744251,4,456
-6,0.026429497807017546,1.0395428373088855,4,456
-5,0.016277344298245615,1.0564638339845374,4,456
-4,0.013998739035087717,1.0712529954964949,4,456
-3,-0.0032781206140350887,1.067741298969111,4,456
-2,-0.002443675438596495,1.065132085782045,4,456
-1,0.030645651315789467,1.0977737522881812,4,456
0,0.027674526315789472,1.1281541208846633,4,456
1,-0.012128344298245615,1.1144714792850896,4,456
2,0.019473857456140352,1.1361745380116215,4,456
3,0.011906806593406595,1.149702748492079,4,456
4,-0.006684682119205294,1.1420173510868328,4,456
5,-0.004025320088300223,1.1374203657023154,4,456
6,0.004582860927152317,1.1426330050540399,4,456
-12,-0.004881472647702407,1.0,5,457
-11,-0.014661663019693641,0.9853383369803064,5,457
-10,0.028912431072210067,1.0138268637310555,5,457
-9,0.007470483588621448,1.0214006406782616,5,457
-8,-0.007462774617067834,1.0137781579031513,5,457
-7,0.013923529540481401,1.0278935280322106,5,457
-6,0.03494629978118162,1.0638146034059606,5,457
-5,0.007942380743982494,1.0722638240272195,5,457
-4,0.0187641466083151,1.0923839396240587,5,457
-3,0.0048493194748358845,1.0976812583364755,5,457
-2,-0.0015538905908096322,1.0959755817574384,5,457
-1,0.044040398249452946,1.144242782849712,5,457
0,0.029752415754923416,1.178286769849627,5,457
1,0.012240080962800874,1.1927090953099837,5,457
2,0.020324518599562365,1.2169503335014789,5,457
3,0.01764480921052632,1.2384231899547988,5,457
4,-0.013393910087719296,1.221835861097998,5,457
5,-0.00865378318584071,1.211262358467371,5,457
6,0.0064190953436807086,1.2190375670325844,5,457
